Name,Season,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl
Luka Doncic,2018-19,DAL,72,72,506,1186,0.427,168,514,0.327,338,672,0.503,346,485,0.713,86,477,563,429,77,25,247,137,1526,8
Luka Doncic,2019-20,DAL,61,61,581,1255,0.463,171,541,0.316,410,714,0.574,426,562,0.758,78,495,573,538,62,14,260,153,1759,17
Luka Doncic,2020-21,DAL,66,66,647,1351,0.479,192,548,0.35,455,803,0.567,344,471,0.73,54,473,527,567,64,36,281,152,1830,11
Luka Doncic,2021-22,DAL,65,65,641,1403,0.457,201,569,0.353,440,834,0.528,364,489,0.744,56,537,593,568,75,36,292,145,1847,10
Luka Doncic,2022-23,DAL,66,66,719,1449,0.496,185,541,0.342,534,908,0.588,515,694,0.742,54,515,569,529,90,33,236,166,2138,10
Giannis Antetokounmpo,2013-14,MIL,77,23,173,418,0.414,41,118,0.347,132,300,0.44,138,202,0.683,78,261,339,150,60,61,122,173,525,0
Giannis Antetokounmpo,2014-15,MIL,81,71,383,780,0.491,7,44,0.159,376,736,0.511,257,347,0.741,100,442,542,207,73,85,173,254,1030,0
Giannis Antetokounmpo,2015-16,MIL,80,79,513,1013,0.506,28,109,0.257,485,904,0.537,296,409,0.724,113,499,612,345,94,113,208,258,1350,5
Giannis Antetokounmpo,2016-17,MIL,80,80,656,1259,0.521,49,180,0.272,607,1079,0.563,471,612,0.77,142,558,700,434,131,151,234,246,1832,3
Giannis Antetokounmpo,2017-18,MIL,75,75,742,1402,0.529,43,140,0.307,699,1262,0.554,487,641,0.76,156,597,753,361,109,106,223,231,2014,1
Giannis Antetokounmpo,2018-19,MIL,72,72,721,1247,0.578,52,203,0.256,669,1044,0.641,500,686,0.729,159,739,898,424,92,110,268,232,1994,5
Giannis Antetokounmpo,2019-20,MIL,63,63,685,1238,0.553,89,293,0.304,596,945,0.631,398,629,0.633,140,716,856,354,61,66,230,195,1857,4
Giannis Antetokounmpo,2020-21,MIL,61,61,626,1100,0.569,67,221,0.303,559,879,0.636,398,581,0.685,97,574,671,357,72,73,207,168,1717,7
Giannis Antetokounmpo,2021-22,MIL,67,67,689,1245,0.553,71,242,0.293,618,1003,0.616,553,766,0.722,134,644,778,388,72,91,219,212,2002,4
Giannis Antetokounmpo,2022-23,MIL,63,63,707,1278,0.553,47,171,0.275,660,1107,0.596,498,772,0.645,137,605,742,359,52,51,246,197,1959,6
Trae Young,2018-19,ATL,81,81,525,1256,0.418,156,482,0.324,369,774,0.477,343,414,0.829,64,237,301,653,72,15,308,140,1549,1
Trae Young,2019-20,ATL,60,60,546,1249,0.437,205,568,0.361,341,681,0.501,481,559,0.86,32,223,255,560,65,8,289,104,1778,2
Trae Young,2020-21,ATL,63,63,487,1112,0.438,136,397,0.343,351,715,0.491,484,546,0.886,38,207,245,594,53,12,261,111,1594,0
